Axial Force,Moment X,Moment Y,N.A. Depth,N.A. Angle,D_t,eps_s
1119.446167,-141.324570,34.318283,26.625998,160.000000,24.896286,-0.000227
1119.446167,-148.106201,18.729458,25.923965,170.000000,23.585970,-0.000316
1119.446167,-155.007217,-0.000030,24.598135,180.000000,21.559002,-0.000432
1119.446167,-148.106094,-18.729456,25.923967,190.000000,23.585968,-0.000316
1119.446167,-141.324585,-34.318260,26.625996,200.000000,24.896286,-0.000227
1119.446167,-132.735092,-46.231373,26.845692,210.000000,25.450142,-0.000182
1119.446167,-123.932564,-57.375366,26.403469,220.000000,25.230711,-0.000155
1119.446167,-109.370888,-69.650719,25.371748,230.000000,24.244656,-0.000155
1119.446167,-92.286568,-81.939316,23.719940,240.000000,22.521940,-0.000177
1119.446167,-71.877403,-94.248665,21.524498,250.000000,20.114906,-0.000229
1119.446167,-47.341534,-99.898460,19.142921,260.000000,17.096691,-0.000374
1119.446167,-0.000048,-104.667236,16.710367,270.000000,13.559004,-0.000660
1119.446167,47.341579,-99.898567,19.142921,280.000000,17.096697,-0.000374
1119.446167,71.877434,-94.248718,21.524500,290.000000,20.114910,-0.000229
1119.446167,92.286507,-81.939278,23.719944,300.000000,22.521940,-0.000177
1119.446167,109.370941,-69.650696,25.371752,310.000000,24.244658,-0.000155
1119.446167,123.932640,-57.375416,26.403465,320.000000,25.230709,-0.000155
1119.446167,132.735046,-46.231342,26.845692,330.000000,25.450142,-0.000182
1119.446167,141.324692,-34.318279,26.625992,340.000000,24.896284,-0.000227
1119.446167,148.106339,-18.729437,25.923960,350.000000,23.585966,-0.000316
1092.142700,174.100525,0.000024,24.017797,0.000000,21.559002,-0.000358
1092.142700,167.987717,19.234011,25.328152,10.000000,23.585966,-0.000241
1092.142700,160.260010,37.463772,25.950344,20.000000,24.896286,-0.000142
1092.142700,149.565536,51.683868,26.115795,30.000000,25.450142,-0.000089
1092.142700,139.296127,64.161049,25.656799,40.000000,25.230709,-0.000058
1092.142700,122.751259,77.624107,24.650648,50.000000,24.244654,-0.000058
1092.142700,104.515587,91.590294,23.021883,60.000000,22.521938,-0.000076
1092.142700,82.080070,105.721519,20.889568,70.000000,20.114902,-0.000130
1092.142700,51.901367,113.005432,18.601734,80.000000,17.096689,-0.000283
1092.142700,-0.000003,118.566406,16.316700,90.000000,13.559000,-0.000592
1092.142700,-51.901340,113.005348,18.601736,100.000000,17.096689,-0.000283
1092.142700,-82.080055,105.721474,20.889570,110.000000,20.114902,-0.000130
1092.142700,-104.515663,91.590340,23.021879,120.000000,22.521938,-0.000076
1092.142700,-122.751259,77.624084,24.650648,130.000000,24.244654,-0.000058
1092.142700,-139.296158,64.161110,25.656796,140.000000,25.230709,-0.000058
1092.142700,-149.565506,51.683857,26.115797,150.000000,25.450142,-0.000089
1092.142700,-160.259933,37.463791,25.950346,160.000000,24.896286,-0.000142
